ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
GOOGL,303.58,78.31,28.81,2.008,-17.75,0.2296,0.143,0.973,28.0,1.11,3666964.0,5.746765249537893,4.655458374591666,3.799366986953398,5.0,4.88,MODERATE,Communication Services,2026-03-04,Communication Services_batch1
GOOG,303.56,76.55,28.3,2.007,-17.63,0.2254,0.121,0.962,28.1,1.11,3670835.0,5.463955637707949,4.6531762432602255,10.0,5.0,6.04,HIGH,Communication Services,2026-03-04,Communication Services_batch1
T,28.67,14.13,21.78,0.863,-20.44,0.0746,-0.096,1.288,9.5,0.58,205452.0,1.8484288354898344,2.0793274699897033,4.744811164978907,5.0,3.13,LOW,Communication Services,2026-03-04,Communication Services_batch1
CHTR,229.41,-37.72,36.48,-0.884,-51.67,-0.128,-0.028,1.497,6.4,1.02,30023.0,10.0,5.340630372492837,5.956677728749623,5.0,6.79,HIGH,Communication Services,2026-03-04,Communication Services_batch1
CMCSA,31.01,-2.96,24.55,-0.036,-27.8,-0.0035,-0.185,0.827,6.0,0.78,116933.0,3.384473197781886,3.030114810562572,5.956677728749623,5.0,4.12,MODERATE,Communication Services,2026-03-04,Communication Services_batch1
EA,201.22,53.3,20.25,1.842,-8.12,0.148,0.563,3.671,75.8,0.75,50484.0,1.0,5.30875,1.0,5.0,3.09,LOW,Communication Services,2026-03-04,Communication Services_batch1
FOXA,57.08,2.99,28.91,0.303,-27.52,0.0348,-0.051,1.596,14.0,0.54,24852.0,5.802218114602589,2.615362903358456,5.956677728749623,5.0,4.72,MODERATE,Communication Services,2026-03-04,Communication Services_batch1
FOX,52.1,0.58,28.54,0.215,-25.64,0.0244,-0.072,1.791,12.8,0.54,24855.0,5.597042513863216,2.4369161027570985,7.596617966775693,5.0,4.93,MODERATE,Communication Services,2026-03-04,Communication Services_batch1
LYV,162.07,17.31,30.03,0.713,-24.2,0.085,0.055,1.312,,1.14,37249.0,6.4232902033271735,4.377797002424509,5.956677728749623,5.0,5.43,MODERATE,Communication Services,2026-03-04,Communication Services_batch1
MTCH,30.8,2.62,31.54,0.254,-23.0,0.0317,0.216,1.605,12.9,1.34,7411.0,7.260628465804067,4.9783997578780115,5.956677728749623,5.0,5.86,MODERATE,Communication Services,2026-03-04,Communication Services_batch1
